,CellLineName,TissueMetaclass,DoublingTime,GDSC_CellLine,CCLE_CellLine,SeedingDensity,EMT,unique.id,isBlood,isBone,isBone.Marrow,isBrain,isBreast,isCervix,isColon,isConnective.Tissue,isEsophagus,isHead.and.Neck,isKidney,isLiver,isLung,isLymphoid,isMuscle,isOvary,isPancreas,isProstate,isSkin,isSmall.Intestine,isStomach,isUnclassified,isUninary,isUterus,DNADamageMutation,PI3K,MAPK,tissueid,Cell line,Tissue Supergroup,Metastatic Tissue,Primary Tissue,Tissue Diagnosis,Age,Age Unit,Gender,Ethnicity,SNP Cluster Number,In Final Analysis Set,Growth Media,Freeze Media,CCLE ID,Sanger ID
HCC1493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,HCC1493,Breast,NA,Breast,Adenocarcinoma,43,Years,Male,NA,194,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
HCC1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,HCC1500,Breast,NA,Breast,Adenocarcinoma Ductal,32,Years,Female,African,554,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC1500,NA
HCC1534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,HCC1534,Lung,NA,Lung,Unknown,NA,NA,NA,NA,189,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
HCC1569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,HCC1569,Breast,NA,Breast,Carcinoma Metaplastic,70,Years,Female,African,553,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC1569,NA
HCC1576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,adrenal_gland,HCC1576,Other,NA,Adrenal,Unknown,NA,NA,NA,NA,68,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
HCC1599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,HCC1599,Breast,NA,Breast,Adenocarcinoma Ductal,44,Years,Female,Caucasian,552,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","FBS, 90%; DMSO, 10%",HCC1599,HCC1599
HCC193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,HCC193,Lung,NA,Lung,Adenocarcinoma,71,Years,Female,Caucasian,8,TRUE,"RPMI-1640 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
HCC202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,HCC202,Breast,NA,Breast,Adenocarcinoma Ductal,82,Years,NA,Caucasian,548,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC202,NA
HCC2157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,HCC2157,Breast,NA,Breast,Adenocarcinoma Ductal,48,Years,Female,African,268,FALSE,"RPMI-1640 10% FBS, 2mM L-Gln","Complete growth medium, 90%; DMSO, 10%",HCC2157,HCC2157
HCC2270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,HCC2270,Lung,NA,Lung,Adenocarcinoma,64,Years,Female,Caucasian,188,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
HCC-2279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,HCC2279,Lung,NA,Lung,Adenocarcinoma,52,Years,Female,NA,346,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC-2279,NA
HCC2302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,HCC2302,Lung,NA,Lung,Adenocarcinoma,NA,NA,NA,NA,96,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
HCC2688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,HCC2688,Breast,NA,Breast,Adenocarcinoma Ductal,NA,NA,Female,NA,382,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
HCC2885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,HCC2885,Lung,NA,Lung,Carcinoma Non-Small Cell,NA,NA,NA,NA,187,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
HCC2911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,HCC2911,Breast,NA,Breast,Carcinoma,NA,NA,NA,NA,335,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
HCC2935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,HCC2935,Lung,NA,Lung,Adenocarcinoma,39,Years,Male,Caucasian,368,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","FBS, 90%; DMSO, 10%",HCC2935,NA
HCC-33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,HCC33,Lung,NA,Lung,Carcinoma Small Cell,53,Years,Male,Caucasian,4,TRUE,"RPMI-1640, 20% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC-33,NA
HCC364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,HCC364,Lung,NA,Lung,Adenocarcinoma,76,Years,Male,NA,154,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC364,NA
HCC-366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,HCC366,Lung,NA,Lung,Carcinoma Non-Small Cell,80,Years,Female,NA,95,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC-366,NA
HCC4011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,HCC4011,Lung,NA,Lung,Adenocarcinoma,53,Years,Male,Caucasian,367,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
HCC4017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,HCC4017,Lung,NA,Lung,Carcinoma Large Cell,NA,NA,NA,NA,153,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
HCC461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,HCC461,Lung,NA,Lung,Adenocarcinoma,NA,NA,NA,NA,56,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
HCC515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,HCC515,Lung,NA,Lung,Adenocarcinoma,NA,NA,NA,NA,152,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
HCC60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovary,HCC60,Ovary,NA,Ovary,Carcinoma,26,Years,Female,African,226,FALSE,NA,NA,NA,NA
HCC630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovary,HCC630,Ovary,NA,Ovary,Carcinoma,32,Years,Female,Hispanic,203,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
HCC70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,HCC70,Breast,NA,Breast,Adenocarcinoma Ductal,49,Years,Female,African,545,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCC70,HCC70
HCC89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kidney,HCC89,Kidney,NA,Kidney,Carcinoma Renal Cell,64,Years,Female,Caucasian,207,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
HCT-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,large_intestine,HCT-8,Colo-Rectal,NA,Ileum,Adenocarcinoma,NA,NA,NA,NA,523,FALSE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HCT-8,NA
HeLa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cervix,HeLa,Cervix,NA,Cervix,Adenocarcinoma,NA,NA,Female,African,268,TRUE,"EMEM, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,HeLaSF
HEp-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,HEp-2,Cervix,NA,Cervix,Adenocarcinoma,NA,NA,NA,NA,268,FALSE,"EMEM, 10% FBS, 2mM Glutamine","90% FBS, 10% DMSO",NA,NA
HEY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovary,HEY,Ovary,NA,Ovary,Carcinoma,NA,NA,NA,NA,437,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine",90% FBS ; 10% DMSO,Hey-A8,NA
HL-60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,HL-60,Lymphoid,NA,Blood,Leukemia,NA,NA,NA,NA,12,TRUE,"RPMI-1640, 10% HI FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HL-60,HL-60
HM7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,large_intestine,HM7,Colo-Rectal,NA,Colon,Adenocarcinoma,NA,NA,NA,NA,175,FALSE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","90% FBS, 10% DMSO",NA,NA
HMY-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,HMY-1,Skin,NA,Skin,Melanoma,62,Years,Male,Japanese,66,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
HNT-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,HNT-34,Lymphoid,NA,Blood,Leukemia Acute Myelogenic,47,Years,Female,NA,581,TRUE,"RPMI-1640, 10% HI FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
Hs 255.T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,large_intestine,Hs 255.T,Colo-Rectal,NA,Colon,Adenocarcinoma,46,Years,Female,Caucasian,114,TRUE,"DMEM, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",Hs 255.T,NA
Hs 38.T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovary,Hs 38.T,Ovary,NA,Ovary,Teratoma,NA,NA,Female,NA,14,TRUE,"DMEM, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
Hs 675.T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,large_intestine,Hs 675.T,Colo-Rectal,NA,Colon,Carcinoma,NA,NA,Male,Caucasian,16,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",Hs 675.T,NA
Hs 69ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,Hs 69ST,Skin,NA,Skin,Melanoma,NA,NA,NA,NA,128,FALSE,NA,NA,NA,NA
Hs 839.T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,Hs 839.T,Skin,NA,Skin,Melanoma,42,Years,Female,Caucasian,111,TRUE,"RPMI-1640 10% FBS, 2mM L-Gln","Complete growth medium, 90%; DMSO, 10%",Hs 839.T,NA
Hs 895.T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,Hs 895.T,Skin,NA,Skin,Melanoma,48,Years,Female,Caucasian,110,TRUE,"DMEM, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",Hs 895.T,NA
Hs 936.T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,Hs 936.T,Skin,NA,Skin,Melanoma,NA,NA,NA,NA,600,TRUE,NA,NA,Hs 936.T,NA
Hs 940.T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,Hs 940.T,Skin,NA,Skin,Melanoma,NA,NA,NA,NA,402,TRUE,NA,NA,Hs 940.T,NA
HS-Sultan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,HS-Sultan,Lymphoid,NA,Blood,Lymphoma,7,Years,Male,African,476,FALSE,"RPMI-1640, 10% HI FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
HT-115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,large_intestine,HT-115,Colo-Rectal,NA,Colon,Carcinoma,NA,NA,NA,NA,43,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",HT115,NA
HT-144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,HT-144,Skin,NA,Skin,Melanoma,NA,NA,NA,NA,401,TRUE,NA,NA,HT-144,HT-144
IM-95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stomach,IM-95,Stomach,NA,Stomach,Adenocarcinoma,NA,NA,NA,NA,34,TRUE,"DMEM, 10% FBS, 10mg/L Insulin, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",IM95,NA
IM-95m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stomach,IM-95m,Stomach,NA,Stomach,Adenocarcinoma,63,Years,Male,Japanese,34,FALSE,"DMEM, 10% FBS, 10mg/L Insulin, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
JeKo-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,JEKO-1,Lymphoid,NA,Lymph Node,Lymphoma,78,Years,Female,NA,477,TRUE,"RPMI-1640 , 10% HI FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",JeKo-1,NA
JHH-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liver,JHH-1,Liver,NA,Liver,Carcinoma Hepatocellular,NA,NA,NA,NA,64,TRUE,"Williams Media E, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",JHH-1,NA
JIMT-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,JIMT-1,Breast,"Effusion, Pleural",Breast,Adenocarcinoma Ductal,62,Years,Female,NA,543,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",JIMT-1,NA
Jiyoye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Jiyoye,Lymphoid,NA,Blood,Malignant Lymphoma - Burkitts Type,7,Years,Male,African,476,TRUE,"RPMI-1640, 10% HI FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,JiyoyeP-2003
JJ012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cartilage,JJ012,Sarcomatoid,NA,Cartilage,Chondrosarcoma,NA,NA,NA,NA,271,TRUE,"40%DMEM, 40%MEM, 10%F-12, 10% FBS, 100nM Hydrocortisone, 100ng/mL Insulin, 25ug/ml L-Ascorbic Acid","Complete growth medium, 90%; DMSO, 10%",NA,NA
JJN-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,JJN-3,Lymphoid,NA,Blood,Leukemia,NA,NA,NA,NA,369,TRUE,"RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",JJN-3,NA
JL-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pleura,JL-1,Other,NA,Pleura,Mesothelioma,54,Years,Male,NA,15,TRUE,"DMEM, 20% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",JL-1,NA
"Jurkat, Clone E6-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,"Jurkat, Clone E6-1",Lymphoid,NA,Blood,Leukemia Acute Lymphocytic,NA,NA,Male,NA,308,TRUE,"RPMI-1640, 10% HI FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
KARPAS-1106P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,KARPAS-1106P,Lymphoid,NA,Lymph Node,Lymphoma B-cell,23,Years,NA,NA,475,TRUE,"RPMI-1640, 20% HI FBS, 2mM Glutamine","RPMI-1640 70% 20% HI FBS, DMSO, 10%",NA,NA
KASUMI-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Kasumi-1,Lymphoid,NA,Blood,Leukemia Acute Myelogenic,NA,NA,NA,NA,13,TRUE,"RPMI-1640, 10% HI FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",KASUMI-1,KASUMI-1
KATOIII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stomach,KATO III,Stomach,NA,Stomach,Carcinoma,NA,NA,NA,NA,220,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",KATO III,KATOIII
KLM-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pancreas,KLM-1,Pancreas,NA,Pancreas,Carcinoma,NA,NA,NA,NA,321,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",KLM-1,NA
KMS-21BM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,KMS-21BM,Lymphoid,NA,Blood,Multiple Myeloma,62,Years,Male,Japanese,383,TRUE,"RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",KMS-21BM,NA
